,Date,station_name,pm25_value,measurement_quality,Latitude,Longitude,Altitude..m.
5262,92,London Bloomsbury,56,V,51.522290000000005,-0.125889,20
5263,92,London Eltham,59,V,51.45258,0.070766,60
5264,92,London Harlington,51,V,51.48879,-0.441614,35
5265,92,London Harrow Stanmore,60,V,51.617333,-0.298777,79
5266,92,London Marylebone Road,58,V,51.522529999999996,-0.154611,35
5267,92,London N. Kensington,59,V,51.52105,-0.21349200000000002,5
5268,92,London Teddington Bushy Park,52,V,51.425286,-0.34560599999999997,11
5269,92,Manchester Piccadilly,33,V,53.481519999999996,-2.2378810000000002,57
5270,92,Middlesbrough,35,V,54.569297,-1.220874,10
5271,92,Newcastle Centre,25,V,54.97825,-1.610528,45
5272,92,Newport,31,V,51.601203000000005,-2.977281,24
5273,92,Nottingham Centre,35,V,52.954730000000005,-1.146447,41
5274,92,Plymouth Centre,20,V,50.37167,-4.142361,18
5275,92,Portsmouth,28,V,50.82881,-1.068583,5
5276,92,Preston,35,V,53.76559,-2.6803529999999998,40
5277,92,Reading New Town,40,V,51.45309,-0.944067,58
5278,92,Rochester Stoke,66,V,51.45617,0.634889,14
5279,92,Salford Eccles,40,V,53.484809999999996,-2.334139,30
5280,92,Saltash Callington Road,19,V,50.411463,-4.227678,65
5281,92,Sandy Roadside,62,V,52.132417,-0.300306,22
5282,92,Sheffield Devonshire Green,48,V,53.378622,-1.4780959999999999,89
5283,92,Southampton Centre,32,V,50.90814,-1.395778,7
5284,92,Southend-on-Sea,59,V,51.544206,0.678408,37
5285,92,Stockton-on-Tees Eaglescliffe,32,V,54.516667000000005,-1.358547,29
5286,92,Stoke-on-Trent Centre,41,V,53.028209999999994,-2.175133,172
5287,92,Storrington Roadside,27,V,50.916932,-0.44954799999999995,41
5288,92,Sunderland Silksworth,26,V,54.88361,-1.406878,110
5289,92,Swansea Roadside,26,V,51.632696,-3.947374,61
5290,92,Warrington,39,V,53.38928000000001,-2.615358,11
5291,92,Wigan Centre,40,V,53.54914,-2.638139,45
5292,92,York Bootham,25,V,53.967513000000004,-1.086514,15
5293,92,York Fishergate,25,V,53.951889,-1.075861,16
5294,93,Aberdeen,30,V,57.15736,-2.094278,20
5295,93,Auchencorth Moss,29,V,55.792159999999996,-3.2429,260
5296,93,Barnstaple A39,14,V,51.074793,-4.041924,13
5297,93,Belfast Centre,47,V,54.59965,-5.928833,10
5298,93,Birmingham Acocks Green,62,V,52.437165,-1.8299990000000002,134
5299,93,Birmingham Tyburn,62,V,52.511722,-1.830583,93
5300,93,Birmingham Tyburn Roadside,61,V,52.512193999999994,-1.830861,93
5301,93,Blackpool Marton,47,V,53.80489,-3.007175,16
5302,93,Bristol St Paul's,55,V,51.462839,-2.584482,15
5303,93,Camden Kerbside,51,V,51.54421,-0.175269,50
5304,93,Cardiff Centre,44,V,51.48178,-3.17625,12
5305,93,Carlisle Roadside,38,V,54.894833999999996,-2.945307,11
5306,93,Chatham Roadside,41,V,51.374264000000004,0.54797,80
5307,93,Chepstow A48,60,V,51.638094,-2.678731,67
5308,93,Chesterfield,61,V,53.230582999999996,-1.433611,86
5309,93,Chesterfield Roadside,61,V,53.231722,-1.456944,96
5310,93,Coventry Memorial Park,58,V,52.394399,-1.5196120000000002,95
5311,93,Derry,21,V,55.001225,-7.329115,32
5312,93,Eastbourne,24,V,50.805778000000004,0.271611,7
5313,93,Edinburgh St Leonards,35,V,55.945589,-3.182186,81
5314,93,Glasgow Townhead,27,V,55.865781999999996,-4.243631,40
5315,93,Grangemouth,35,V,56.010318999999996,-3.704399,4
5316,93,Haringey Roadside,54,V,51.5993,-0.068218,10
5317,93,Harwell,57,V,51.571078,-1.325283,126
5318,93,Hull Freetown,56,V,53.748780000000004,-0.34122199999999997,4
5319,93,Leamington Spa,61,V,52.28881,-1.5331190000000001,55
5320,93,Leamington Spa Rugby Road,60,V,52.294884,-1.5429110000000001,66
5321,93,Leeds Centre,55,V,53.80378,-1.5464719999999998,78
5322,93,Leeds Headingley Kerbside,55,V,53.819972,-1.5763610000000001,85
5323,93,Leicester University,61,V,52.619823,-1.127311,83
5324,93,Liverpool Speke,52,V,53.34633,-2.8443330000000002,26
5325,93,London Bexley,48,V,51.466029999999996,0.184806,13
5326,93,London Bloomsbury,53,V,51.522290000000005,-0.125889,20
5327,93,London Harlington,56,V,51.48879,-0.441614,35
5328,93,London Harrow Stanmore,63,V,51.617333,-0.298777,79
5329,93,London Marylebone Road,54,V,51.522529999999996,-0.154611,35
5330,93,London N. Kensington,58,V,51.52105,-0.21349200000000002,5
5331,93,London Teddington Bushy Park,55,V,51.425286,-0.34560599999999997,11
5332,93,Manchester Piccadilly,49,V,53.481519999999996,-2.2378810000000002,57
5333,93,Middlesbrough,61,V,54.569297,-1.220874,10
5334,93,Newcastle Centre,50,V,54.97825,-1.610528,45
5335,93,Newport,58,V,51.601203000000005,-2.977281,24
5336,93,Nottingham Centre,60,V,52.954730000000005,-1.146447,41
5337,93,Plymouth Centre,15,V,50.37167,-4.142361,18
5338,93,Portsmouth,28,V,50.82881,-1.068583,5
5339,93,Preston,49,V,53.76559,-2.6803529999999998,40
5340,93,Reading New Town,50,V,51.45309,-0.944067,58
5341,93,Rochester Stoke,49,V,51.45617,0.634889,14
5342,93,Salford Eccles,55,V,53.484809999999996,-2.334139,30
5343,93,Saltash Callington Road,13,V,50.411463,-4.227678,65
5344,93,Sandy Roadside,44,V,52.132417,-0.300306,22
5345,93,Sheffield Devonshire Green,54,V,53.378622,-1.4780959999999999,89
5346,93,Southampton Centre,37,V,50.90814,-1.395778,7
5347,93,Southend-on-Sea,42,V,51.544206,0.678408,37
5348,93,Stockton-on-Tees Eaglescliffe,55,V,54.516667000000005,-1.358547,29
5349,93,Stoke-on-Trent Centre,49,V,53.028209999999994,-2.175133,172
5350,93,Storrington Roadside,32,V,50.916932,-0.44954799999999995,41
5351,93,Sunderland Silksworth,50,V,54.88361,-1.406878,110
5352,93,Swansea Roadside,30,V,51.632696,-3.947374,61
5353,93,Warrington,55,V,53.38928000000001,-2.615358,11
5354,93,Wigan Centre,54,V,53.54914,-2.638139,45
5355,93,York Fishergate,52,V,53.951889,-1.075861,16
