,lat,lon,val,date
0,51.2,-0.5999999999999979,20.859945,92
1,51.2,-0.5,21.359016,92
2,51.2,-0.3999999999999986,21.758207,92
3,51.2,-0.29999999999999716,22.005903,92
4,51.2,-0.1999999999999993,22.171186,92
5,51.2,-0.09999999999999787,22.221888,92
6,51.2,0.0,22.030113,92
7,51.2,0.10000000000000142,21.603193,92
8,51.2,0.20000000000000284,21.800636,92
9,51.2,0.3000000000000007,22.158548,92
10,51.3,-0.5999999999999979,21.091272,92
11,51.3,-0.5,22.015299,92
12,51.3,-0.3999999999999986,22.27711,92
13,51.3,-0.29999999999999716,22.664438,92
14,51.3,-0.1999999999999993,23.04951,92
15,51.3,-0.09999999999999787,23.12121,92
16,51.3,0.0,22.983652,92
17,51.3,0.10000000000000142,22.800446,92
18,51.3,0.20000000000000284,22.951777,92
19,51.3,0.3000000000000007,23.304985,92
20,51.400000000000006,-0.5999999999999979,21.695986,92
21,51.400000000000006,-0.5,23.44941,92
22,51.400000000000006,-0.3999999999999986,24.479204,92
23,51.400000000000006,-0.29999999999999716,25.350668,92
24,51.400000000000006,-0.1999999999999993,26.710802,92
25,51.400000000000006,-0.09999999999999787,26.851028,92
26,51.400000000000006,0.0,26.216562,92
27,51.400000000000006,0.10000000000000142,26.04537,92
28,51.400000000000006,0.20000000000000284,25.99511,92
29,51.400000000000006,0.3000000000000007,25.83595,92
30,51.5,-0.5999999999999979,22.640284,92
31,51.5,-0.5,24.318506,92
32,51.5,-0.3999999999999986,26.008362,92
33,51.5,-0.29999999999999716,26.979193,92
34,51.5,-0.1999999999999993,27.93313,92
35,51.5,-0.09999999999999787,28.240097,92
36,51.5,0.0,28.194948,92
37,51.5,0.10000000000000142,28.003466,92
38,51.5,0.20000000000000284,27.56088,92
39,51.5,0.3000000000000007,26.919847,92
40,51.6,-0.5999999999999979,22.046106,92
41,51.6,-0.5,23.64724,92
42,51.6,-0.3999999999999986,25.223442,92
43,51.6,-0.29999999999999716,26.19152,92
44,51.6,-0.1999999999999993,27.478386,92
45,51.6,-0.09999999999999787,28.402533,92
46,51.6,0.0,28.494856,92
47,51.6,0.10000000000000142,27.968214,92
48,51.6,0.20000000000000284,27.298574,92
49,51.6,0.3000000000000007,27.43541,92
50,51.7,-0.5999999999999979,20.809938,92
51,51.7,-0.5,21.980543,92
52,51.7,-0.3999999999999986,22.867447,92
53,51.7,-0.29999999999999716,23.459183,92
54,51.7,-0.1999999999999993,23.966751,92
55,51.7,-0.09999999999999787,24.703041,92
56,51.7,0.0,25.190092,92
57,51.7,0.10000000000000142,25.732248,92
58,51.7,0.20000000000000284,25.8939,92
59,51.7,0.3000000000000007,26.503786,92
60,51.8,-0.5999999999999979,19.685162,92
61,51.8,-0.5,20.32876,92
62,51.8,-0.3999999999999986,20.799604,92
63,51.8,-0.29999999999999716,21.167381,92
64,51.8,-0.1999999999999993,21.660887,92
65,51.8,-0.09999999999999787,22.364729,92
66,51.8,0.0,23.32553,92
67,51.8,0.10000000000000142,24.34951,92
68,51.8,0.20000000000000284,25.207954,92
69,51.8,0.3000000000000007,25.950485,92
70,51.900000000000006,-0.5999999999999979,19.024063,92
71,51.900000000000006,-0.5,19.452024,92
72,51.900000000000006,-0.3999999999999986,19.730118,92
73,51.900000000000006,-0.29999999999999716,19.89827,92
74,51.900000000000006,-0.1999999999999993,20.249155,92
75,51.900000000000006,-0.09999999999999787,20.616343,92
76,51.900000000000006,0.0,21.874544,92
77,51.900000000000006,0.10000000000000142,22.966677,92
78,51.900000000000006,0.20000000000000284,24.524368,92
79,51.900000000000006,0.3000000000000007,25.485817,92
80,52.0,-0.5999999999999979,18.882996,92
81,52.0,-0.5,18.805357,92
82,52.0,-0.3999999999999986,19.235842,92
83,52.0,-0.29999999999999716,19.186087,92
84,52.0,-0.1999999999999993,19.287813,92
85,52.0,-0.09999999999999787,19.654383,92
86,52.0,0.0,20.498957,92
87,52.0,0.10000000000000142,21.28958,92
88,52.0,0.20000000000000284,22.694105,92
89,52.0,0.3000000000000007,24.006098,92
0,51.2,-0.5999999999999979,24.380163,93
1,51.2,-0.5,24.770414,93
2,51.2,-0.3999999999999986,24.984488,93
3,51.2,-0.29999999999999716,25.583567,93
4,51.2,-0.1999999999999993,26.143545,93
5,51.2,-0.09999999999999787,26.637102,93
6,51.2,0.0,27.3175,93
7,51.2,0.10000000000000142,28.09098,93
8,51.2,0.20000000000000284,29.024645,93
9,51.2,0.3000000000000007,29.888123,93
10,51.3,-0.5999999999999979,25.363258,93
11,51.3,-0.5,26.13778,93
12,51.3,-0.3999999999999986,26.86898,93
13,51.3,-0.29999999999999716,27.632866,93
14,51.3,-0.1999999999999993,28.596025,93
15,51.3,-0.09999999999999787,29.479057,93
16,51.3,0.0,30.676292,93
17,51.3,0.10000000000000142,32.1006,93
18,51.3,0.20000000000000284,32.99068,93
19,51.3,0.3000000000000007,33.472782,93
20,51.400000000000006,-0.5999999999999979,33.186104,93
21,51.400000000000006,-0.5,34.801464,93
22,51.400000000000006,-0.3999999999999986,35.9059,93
23,51.400000000000006,-0.29999999999999716,37.402172,93
24,51.400000000000006,-0.1999999999999993,38.0308,93
25,51.400000000000006,-0.09999999999999787,39.02547,93
26,51.400000000000006,0.0,39.3215,93
27,51.400000000000006,0.10000000000000142,40.229786,93
28,51.400000000000006,0.20000000000000284,40.42186,93
29,51.400000000000006,0.3000000000000007,40.79969,93
30,51.5,-0.5999999999999979,38.879215,93
31,51.5,-0.5,40.22679,93
32,51.5,-0.3999999999999986,41.38841,93
