m,likelihood,rmse,time (secs)
10,-0.28861633845848145,0.32259696075676153,54.00016498565674
50,-0.062097580003447964,0.2561263305673004,570.1571824550629
100,0.028453130705913238,0.23273680106805666,1268.9820866584778
300,0.3447276308467398,0.16989345385472587,4684.591848611832
