lat,lon,mu,var
49.7,-10.7,5.685738193233212,0.00036816968948216733
49.7,-10.6,5.773292607461345,0.0005267191228460755
49.7,-10.6,5.773292607461345,0.0005267191228460755
49.7,-10.5,5.799468601998524,0.0007071746546738478
49.7,-10.4,5.794005743768497,0.0004490476001037802
49.7,-10.4,5.794005743768497,0.0004490476001037802
49.7,-10.3,5.77181428438726,0.00022430846323373554
49.7,-10.3,5.77181428438726,0.00022430846323373554
49.7,-10.2,5.736994568240003,0.0002703551145304406
49.7,-10.1,5.691039648269549,0.0003907396164716248
49.7,-10.1,5.691039648269549,0.0003907396164716248
49.7,-10.0,5.639399646706534,0.0003610027582446884
49.7,-9.9,5.592835004270796,0.00023725927577067374
49.7,-9.9,5.592835004270796,0.00023725927577067374
49.7,-9.8,5.56373056599312,0.00020328024799132205
49.7,-9.8,5.56373056599312,0.00020328024799132205
49.7,-9.7,5.560493453099953,0.0002712928629803324
49.7,-9.6,5.583578961387184,0.0003110146058508123
49.7,-9.6,5.583578961387184,0.0003110146058508123
49.7,-9.5,5.625100564427898,0.00030162259082511245
49.7,-9.4,5.671961379242426,0.00034082041042748923
49.7,-9.4,5.671961379242426,0.00034082041042748923
49.7,-9.3,5.710886061018098,0.00041573083392987265
49.7,-9.3,5.710886061018098,0.00041573083392987265
49.7,-9.2,5.732977809102038,0.0003888141162391445
49.7,-9.1,5.7358706916218605,0.0002521993664197364
49.7,-9.1,5.7358706916218605,0.0002521993664197364
49.7,-9.0,5.723099927000923,0.00018334058613012072
49.7,-8.9,5.70188839467743,0.00026779326402759374
49.7,-8.9,5.70188839467743,0.00026779326402759374
49.7,-8.8,5.680970347055656,0.0003585050556998981
49.7,-8.8,5.680970347055656,0.0003585050556998981
49.7,-8.7,5.669269343516219,0.0003182296336960988
49.7,-8.6,5.675139067245377,0.000229184852866271
49.7,-8.6,5.675139067245377,0.000229184852866271
49.7,-8.5,5.705359661558394,0.0002257323976947445
49.7,-8.4,5.763380792838646,0.0002662050300674679
49.7,-8.4,5.763380792838646,0.0002662050300674679
49.7,-8.3,5.847076733520299,0.0002353477886379851
49.7,-8.3,5.847076733520299,0.0002353477886379851
49.7,-8.2,5.947059998473473,0.000163389502991107
49.7,-8.1,6.0470120410826445,0.00016316938423255323
49.7,-8.1,6.0470120410826445,0.00016316938423255323
49.7,-8.0,6.127140069482058,0.00021958431542312695
49.7,-7.9,6.170411710191958,0.00022505899122393647
49.7,-7.9,6.170411710191958,0.00022505899122393647
49.7,-7.8,6.16905163335134,0.000189599222287673
49.7,-7.7,6.127574998256041,0.0002317623695832216
49.7,-7.7,6.127574998256041,0.0002317623695832216
49.7,-7.6,6.060076905603295,0.0003563718506836011
49.7,-7.6,6.060076905603295,0.0003563718506836011
49.7,-7.5,5.983010246686288,0.0004150513331316885
49.7,-7.4,5.907469094220967,0.0003313798265578427
49.7,-7.4,5.907469094220967,0.0003313798265578427
49.7,-7.3,5.83505674751056,0.00021550928327596086
49.7,-7.2,5.759275981017992,0.00018531264097498834
49.7,-7.2,5.759275981017992,0.00018531264097498834
49.7,-7.1,5.671525100935946,0.00020222052377238953
49.7,-7.1,5.671525100935946,0.00020222052377238953
49.7,-7.0,5.568269803948733,0.00017862898836495944
49.7,-6.9,5.455009399638299,0.00013971024653802733
49.7,-6.9,5.455009399638299,0.00013971024653802733
49.7,-6.8,5.344497809168962,0.00015622861555042444
49.7,-6.7,5.250482233817668,0.00019497533877965711
49.7,-6.7,5.250482233817668,0.00019497533877965711
49.7,-6.6,5.180966556459678,0.00017698420006895255
49.7,-6.6,5.180966556459678,0.00017698420006895255
49.7,-6.5,5.13475842816979,0.0001370397267421719
49.7,-6.4,5.102747625790887,0.00017363095036371234
49.7,-6.4,5.102747625790887,0.00017363095036371234
49.7,-6.3,5.072779415125016,0.0002599396131617304
49.7,-6.2,5.035112670660146,0.0002646995026457377
49.7,-6.2,5.035112670660146,0.0002646995026457377
49.7,-6.1,4.985126400410289,0.00017181568460211682
49.7,-6.1,4.985126400410289,0.00017181568460211682
49.7,-6.0,4.92185822939146,0.00011789425934516373
49.7,-5.9,4.844128302237863,0.00016988112629012786
49.7,-5.9,4.844128302237863,0.00016988112629012786
49.7,-5.8,4.747885678174325,0.00022089045895790083
49.7,-5.7,4.627416505798651,0.00017990808554468884
49.7,-5.7,4.627416505798651,0.00017990808554468884
49.7,-5.6,4.479894567475939,0.00012433609890105668
49.7,-5.5,4.309746296517305,0.00015908276106879615
49.7,-5.5,4.309746296517305,0.00015908276106879615
49.7,-5.4,4.12898551860482,0.0002343684035468474
49.7,-5.4,4.12898551860482,0.0002343684035468474
49.7,-5.3,3.9527193157897824,0.00023176379589517904
49.7,-5.2,3.7928276817210165,0.00016368427715562905
49.7,-5.2,3.7928276817210165,0.00016368427715562905
49.7,-5.1,3.653977725388456,0.00015048992849342469
49.7,-5.0,3.534221956673663,0.0002192881313191064
49.7,-5.0,3.534221956673663,0.0002192881313191064
49.7,-4.9,3.429502441086568,0.00025788716068120277
49.7,-4.9,3.429502441086568,0.00025788716068120277
49.7,-4.8,3.339130339886161,0.00019838952692907696
49.7,-4.7,3.268666817293517,0.00013224206864348442
49.7,-4.7,3.268666817293517,0.00013224206864348442
49.7,-4.6,3.2282680799524504,0.00016658907910682696
49.7,-4.5,3.2276224921015313,0.00025023639338506154
49.7,-4.5,3.2276224921015313,0.00025023639338506154
49.7,-4.4,3.270692022015957,0.0002555249730707976
49.7,-4.4,3.270692022015957,0.0002555249730707976
49.7,-4.3,3.3534136341198604,0.00018668713900038547
