date,lat,lon,indicator,mu,var,truth,sq_error
98.0,56.0,-2.599999999999998,1.0,3.944197864401326,0.0022577808981725962,5.721615,3.1592116739197946
94.0,49.8,-3.0999999999999983,1.0,8.801821437243726,0.005683934419510379,6.911556699999999,3.5731007768670953
92.0,57.7,-2.8999999999999986,1.0,5.883959116513053,0.0012806691830623091,5.467918,0.173090210629428
98.0,54.40000000000001,-10.4,1.0,3.80132659560046,0.005897373494398287,3.8991601,0.009571394583094807
93.0,58.7,-10.7,1.0,7.453490084178582,0.012285642510924734,5.388429,4.264477281388818
97.0,58.8,-7.5,1.0,3.2146446874174166,0.003755369668521028,3.2507484000000004,0.0013034780622458216
97.0,55.6,-6.599999999999998,1.0,3.1340679175462887,0.0009705589432372522,2.8013791999999995,0.11068178278259456
95.0,51.90000000000001,-3.899999999999999,1.0,7.920768111112602,0.0009431015936771849,6.2075734,2.9350361181841897
93.0,57.6,-9.2,1.0,8.830228427075223,0.004667212277097956,6.3103869999999995,6.349600817604499
95.0,56.2,-5.0,1.0,10.12936456923699,0.0010094253056464907,11.838433,2.920914901030736
95.0,51.8,-4.599999999999998,1.0,6.879757373249888,0.0011371342811957144,5.692384199999999,1.4098550525535092
96.0,56.2,-5.599999999999998,1.0,4.422242435019073,0.0009241429082932319,3.807316,0.378134520485266
94.0,53.2,-10.6,1.0,3.784843945373483,0.0008140354553237283,4.8604474,1.1569227916044977
95.0,54.7,-2.5,1.0,14.972836759540913,0.0005685132454988301,17.005713,4.132585809023072
98.0,54.90000000000001,-4.299999999999997,1.0,3.5246071509611814,0.002170722511752883,4.220055,0.4836477107327199
97.0,56.40000000000001,-9.8,1.0,3.1263150631265795,0.0020276595160816633,3.4877446000000005,0.13063131012453563
94.0,58.3,-0.6999999999999993,1.0,11.315494414054383,0.0013384086750392286,12.033286000000002,0.5152247608543272
98.0,56.5,-3.1999999999999997,1.0,3.807293559452057,0.0023089097831677746,6.4611087,7.042734800201496
96.0,51.40000000000001,-4.0,1.0,5.881391439537806,0.0012837076447437122,5.588502999999999,0.08578363801489142
92.0,51.5,-5.5,1.0,10.083539850490023,0.003487342615824733,11.213135,1.2759852017964652
92.0,53.1,-4.699999999999998,1.0,10.970635165914933,0.0020216421890171914,8.430983000000001,6.449833123836404
93.0,56.6,-4.299999999999997,1.0,14.208324293248795,0.0014613706576844555,11.882171000000001,5.410989143692209
96.0,55.40000000000001,-4.899999999999999,1.0,4.6110782713034695,0.0009086648359087776,4.214249,0.15747347056324282
92.0,58.0,-8.399999999999999,1.0,8.781843656398742,0.0041692911764106815,11.409595,6.905077123798215
93.0,58.8,-10.0,1.0,7.986306771422505,0.009993310885731896,5.1911087,7.813132258484093
95.0,53.2,-6.800000000000002,1.0,5.37138973963115,0.00110821660631326,4.4654245,0.8207730154199265
95.0,49.90000000000001,-3.799999999999997,1.0,6.308219380195149,0.005384553875106982,6.19085,0.01377557140739348
96.0,49.8,0.20000000000000284,1.0,9.198629029267547,0.0014454865135303371,9.207610000000003,8.06578352972226e-05
96.0,55.1,0.8000000000000007,1.0,12.184705646166938,0.0019752049525296913,12.617868999999999,0.18763049110390564
94.0,58.40000000000001,-0.09999999999999787,1.0,10.397808213137207,0.00152373178936276,11.685494000000002,1.6581346856884558
97.0,55.40000000000001,-9.6,1.0,3.156207905290059,0.001031598618052207,3.6260974000000004,0.2207961372387639
98.0,54.40000000000001,-6.599999999999998,1.0,3.4712980901406443,0.002541227747096298,3.487067,0.0002486585181524905
92.0,52.7,-9.7,1.0,5.190884639124593,0.002362114272371326,5.976381000000001,0.6170045329485091
94.0,59.0,-1.2999999999999972,1.0,8.539236083593133,0.0023865253917636415,10.824715999999999,5.2234184482991335
94.0,57.1,-8.399999999999999,1.0,9.711682400250584,0.0006233907048855624,14.210785,20.241924203071946
94.0,58.6,-1.099999999999998,1.0,10.095555365012094,0.0016840467771245156,11.476410999999999,1.9067622846778487
94.0,51.8,-3.5,1.0,15.931688507556307,0.0014813030506822253,21.185247000000004,27.599876833527283
92.0,51.7,-6.0,1.0,9.17484202513834,0.00312449688699001,9.110213,0.004176910890332113
98.0,57.1,0.10000000000000142,1.0,4.6997351760652,0.001958893311743557,4.2410665000000005,0.21037695440340307
92.0,51.54421,-0.175269,0.0,4.8359149837271005,0.001850305185499987,52.00000000000001,2224.4509154222187
94.0,54.40000000000001,-7.800000000000002,1.0,8.445666385212933,0.001813288757516376,7.4539339999999985,0.9835331238801358
96.0,57.90000000000001,-7.300000000000002,1.0,4.254392235016123,0.0018992883570872426,5.3532033,1.2073857565310009
92.0,58.3,-6.899999999999999,1.0,7.90190862783866,0.0027076424279885397,10.984256,9.50086532266992
97.0,54.3,-1.8999999999999984,1.0,4.815378115445376,0.001407277466561533,3.7485974,1.138021094846148
97.0,51.90000000000001,-9.8,1.0,4.855166617690953,0.002431757583008293,4.162319999999999,0.4800364356457947
97.0,54.7,0.6000000000000014,1.0,7.13530125951914,0.0023067215605965773,7.3585606,0.04984473311194859
97.0,52.7,-8.3,1.0,4.039582220899207,0.0013426134033555465,3.1855438000000005,0.7293816243720097
92.0,50.2,-3.0,1.0,15.067853808916558,0.005417802543640444,15.003718000000001,0.004113401985381128
92.0,54.7,-2.299999999999997,1.0,12.638853387630302,0.0030476800970362255,12.220325000000003,0.17516601125241835
