date,lat,lon,indicator,mu,var
92.0,49.7,-10.7,0.0,5.762036327645102,0.024664964503255348
92.0,49.7,-10.4,0.0,6.122531188481012,0.02238173817309874
92.0,49.7,-10.2,0.0,6.36838938475525,0.02106217119594593
92.0,49.7,-9.9,0.0,6.7441826832326,0.019369136920122952
92.0,49.7,-9.7,0.0,6.998604957000236,0.01841896836995219
92.0,49.7,-9.4,0.0,7.384732122141049,0.017237577975514527
92.0,49.7,-9.2,0.0,7.644370728697924,0.01659749086804989
92.0,49.7,-8.9,0.0,8.03588151772471,0.015831731602606598
92.0,49.7,-8.7,0.0,8.297559711445414,0.015434927659390201
92.0,49.7,-8.4,0.0,8.690000888318131,0.014983407365721214
92.0,49.7,-8.1,0.0,9.081237844325768,0.014673273356222967
92.0,49.7,-7.9,0.0,9.34088506255493,0.014528721447982762
92.0,49.7,-7.6,0.0,9.728028645568783,0.014382504002176546
92.0,49.7,-7.4,0.0,9.98435987453971,0.01431994174445529
92.0,49.7,-7.1,0.0,10.366047234820998,0.0142595934969791
92.0,49.7,-6.9,0.0,10.61865573221304,0.014231850238037922
92.0,49.7,-6.6,0.0,10.995030283794545,0.014194125470250896
92.0,49.7,-6.4,0.0,11.244500537467838,0.014164100865720368
92.0,49.7,-6.1,0.0,11.617125635679795,0.014101022735014448
92.0,49.7,-5.9,0.0,11.864916969720436,0.014041930089385047
92.0,49.7,-5.6,0.0,12.23651533634276,0.013921380762797933
92.0,49.7,-5.3,0.0,12.60913275413831,0.013758083304245643
92.0,49.7,-5.1,0.0,12.858762398335339,0.013624713408879038
92.0,49.7,-4.8,0.0,13.236005455793567,0.013389817601911234
92.0,49.7,-4.6,0.0,13.489900397037156,0.01321283330908022
92.0,49.7,-4.3,0.0,13.875145095008579,0.012924730970307961
92.0,49.7,-4.1,0.0,14.135280044021885,0.01272405173293705
92.0,49.7,-3.8,0.0,14.530841756041871,0.012424315906264138
92.0,49.7,-3.6,0.0,14.7981833657695,0.012235355795460041
92.0,49.7,-3.3,0.0,15.204381292431293,0.011988037179999703
92.0,49.7,-3.0,0.0,15.615896710113768,0.011810807402016836
92.0,49.7,-2.8,0.0,15.892344905237142,0.011747568205612855
92.0,49.7,-2.5,0.0,16.308246782375885,0.011760149377699224
92.0,49.7,-2.3,0.0,16.58482403504086,0.011854934498412089
92.0,49.7,-2.0,0.0,16.995344161073564,0.012151484757072424
92.0,49.7,-1.8,0.0,17.263752181814464,0.012465802685207007
92.0,49.7,-1.5,0.0,17.653598988148058,0.013133647757179368
92.0,49.7,-1.3,0.0,17.901695853481666,0.013720732665784798
92.0,49.7,-1.0,0.0,18.249748237156904,0.01482964408546122
92.0,49.7,-0.8,0.0,18.461594837932207,0.01572801554512557
92.0,49.7,-0.5,0.0,18.741443541242443,0.01732212197274272
92.0,49.7,-0.2,0.0,18.966097225879377,0.019216237965784415
92.0,49.7,0.0,0.0,19.079700235983367,0.020645306369430197
92.0,49.7,0.3,0.0,19.187699593810695,0.0230337380207373
92.0,49.7,0.5,0.0,19.213568644572042,0.024784537248570916
92.0,49.7,0.8,0.0,19.176147677153683,0.027637470842262542
92.0,49.7,1.0,0.0,19.096898527671893,0.029682697342734154
92.0,49.7,1.3,0.0,18.8919906457502,0.03294998289803052
92.0,49.7,1.5,0.0,18.696336613657238,0.03525127653789537
92.0,49.7,1.8,0.0,18.31331602627246,0.038870029336855016
92.0,49.9,-10.7,0.0,5.792099110458674,0.022717078387375397
92.0,49.9,-10.4,0.0,6.149680533040886,0.020434362946526157
92.0,49.9,-10.2,0.0,6.392931706357694,0.01911175530857502
92.0,49.9,-9.9,0.0,6.763745398506,0.01740870478419312
92.0,49.9,-9.7,0.0,7.014105303228117,0.016448190262807836
92.0,49.9,-9.4,0.0,7.392999659371339,0.015246053393255724
92.0,49.9,-9.2,0.0,7.647060019108429,0.014588994634272122
92.0,49.9,-8.9,0.0,8.029109577403778,0.013793941577494806
92.0,49.9,-8.7,0.0,8.283797573560092,0.013375702943520964
92.0,49.9,-8.4,0.0,8.664851448454241,0.012890476606718838
92.0,49.9,-8.1,0.0,9.043823910800603,0.012546495149502587
