date,lat,lon,indicator,mu,var,truth,sq_error
93.0,51.3,0.3000000000000007,1.0,34.50334110937284,4.829476343142039e-05,33.472782,1.0620520779113374
92.0,52.2,-8.7,1.0,6.125735200267813,4.0362197698817485e-05,6.0946940000000005,0.0009635561140664247
92.0,49.8,-7.300000000000002,1.0,10.70558886912216,0.00014781643164001293,9.694994999999999,1.0212999683072994
92.0,52.3,-4.399999999999999,1.0,9.481801998365524,4.1721939573633525e-05,9.560426,0.006181733633017967
92.0,58.0,-10.4,1.0,10.090590984424429,9.65735162005873e-05,8.800464,1.6644276359400707
93.0,53.1,-8.5,1.0,5.017323698902822,5.066602142580004e-05,4.8381557,0.03210117183084174
93.0,50.8,-6.199999999999998,1.0,8.639256800590728,4.9465405966736276e-05,8.174838000000001,0.21568482234212888
92.0,56.7,-4.899999999999999,1.0,9.7999917449865,5.4376619497249115e-05,7.964220000000002,3.3700578996907704
92.0,58.90000000000001,-3.799999999999997,1.0,3.2401306381734267,0.000147485537226973,3.6457508,0.16452771568021554
93.0,52.5,-0.8999999999999986,1.0,39.66608820229618,5.451728694619026e-05,38.14193,2.323058225626717
92.0,53.2,-5.399999999999999,1.0,7.0387916021996695,4.874973276051279e-05,7.1921100000000004,0.02350653110406053
92.0,51.1,-3.0999999999999983,1.0,14.344109863263599,5.197266328460494e-05,13.545457,0.6378463959991435
92.0,50.2,1.3000000000000007,1.0,20.67855716021983,8.737845306232048e-05,21.329767000000004,0.42407425542651755
93.0,52.6,1.1000000000000014,1.0,38.16518701988155,7.550656637016856e-05,37.641856999999995,0.2738743097092294
92.0,57.3,-9.2,1.0,9.295638778560873,6.275013127493684e-05,8.934582000000002,0.13036199734475346
93.0,50.40000000000001,-1.0,1.0,19.89955517793719,4.720495171830719e-05,20.048609000000003,0.022217041871532135
92.0,58.7,1.0,1.0,3.8173561242677443,8.983777799602955e-05,3.7251891999999995,0.008494741928976196
92.0,51.3,-3.6999999999999993,1.0,13.03768440529907,5.1775919178009116e-05,14.338908000000002,1.6931828434064162
93.0,50.1,-2.5,1.0,18.12740116076346,6.839601219237248e-05,18.136000000000003,7.394003621593487e-05
92.0,49.7,-9.6,1.0,5.415567399507324,0.00024650053155793046,5.091982,0.10470751077431485
92.0,57.2,-0.5,1.0,4.537592350801589,6.262301952224053e-05,4.5835875999999995,0.0021155629488239097
93.0,51.40000000000001,-6.300000000000002,1.0,10.409341993701346,4.770001543707052e-05,10.211482,0.03914857710749681
92.0,52.1,-10.6,1.0,5.269068640508704,0.00017187495282565692,5.318886,0.0024817693066850484
93.0,50.2,-9.6,1.0,4.271710334897844,9.10140359172367e-05,4.3186,0.002198640693392323
93.0,54.0,-9.5,1.0,4.3723468807796495,0.00012298843628858505,4.768131299999999,0.15664530649758968
92.0,52.1,-5.199999999999998,1.0,9.19244953956357,4.636702017996173e-05,8.89859,0.08635342899251344
93.0,50.40000000000001,1.3000000000000007,1.0,22.62559412906806,9.268870199747579e-05,20.639132999999998,3.9460278172983574
93.0,52.0,-2.3999999999999986,1.0,28.51716926084444,5.887564302573545e-05,30.79205300000001,5.175096026674426
92.0,57.5,-2.6999999999999997,1.0,5.525784962957518,4.971560438090098e-05,6.7994119999999985,1.622125829485608
92.0,52.3,-9.5,1.0,5.7400955675416085,5.4687460701465157e-05,6.124386000000001,0.14767913647905845
92.0,55.6,-9.5,1.0,5.621086762017857,5.1425361974192546e-05,5.195983,0.18071320848173464
94.0,53.951889,-1.075861,0.0,24.995001086859887,0.012338985418647487,33.0,64.0800075993744
93.0,51.3,-10.1,1.0,4.116129021792057,7.578351840783961e-05,4.364716,0.06179548573455614
93.0,54.2,-6.699999999999998,1.0,18.172714497962176,0.00021290803821105939,15.917989000000006,5.083787071160755
92.0,50.40000000000001,-9.5,1.0,6.72422459578566,9.595384110042377e-05,6.634601,0.008032388921551439
92.0,51.1,1.7000000000000028,1.0,24.87941829763326,0.00017571623678419278,26.459165999999996,2.4956028031329778
92.0,54.3,-6.5,1.0,7.578275512463356,5.984219280693869e-05,6.682771000000001,0.8019283318422314
92.0,54.5,-0.5999999999999979,1.0,25.821084086871693,6.221221841106738e-05,23.336003999999996,6.1756230381662425
92.0,52.5,-3.799999999999997,1.0,9.526521783833305,4.561182678647164e-05,8.852482999999998,0.45432828211148363
92.0,50.8,-1.8999999999999984,1.0,17.25939198186763,6.487906664399788e-05,17.580156,0.10288955532842274
