pod_id_location,start_date_UTC,end_date_UTC,scaling_method,relocate_date_UTC,location_name,Borough,Type,ULEZ,Latitude,Longitude,X_Coord,Y_Coord,Distance_from_Road,Height
88245,6/11/2018 12:45,1/7/2019 0:59,Gold Pod Colocation,NA,London Wall,City of London,Roadside,Yes,51.516749,-0.085342,532948.7925,181494.8494,0.34,3.03
89245,22/1/2019 13:00,1/7/2019 0:59,Gold Pod Colocation,NA,Park Lane,Westminster,Roadside,Yes,51.507988,-0.153446,528244.8324,180397.0927,1.3,3.3
90245,2/3/2019 10:45,1/7/2019 0:59,Network Based Calibration,NA,Broadway Street,Bexley,Roadside,No,51.45788,0.135353,548445.8555,175376.9022,1,3.5
92245,23/10/2018 9:00,1/7/2019 0:59,Network Based Calibration,NA,High Street,Hillingdon,Roadside,No,51.574253,-0.143871,510038.5891,187345.0653,2.33,7.122
96245,17/4/2019 15:59,1/7/2019 0:59,Gold Pod Colocation,NA,Rosebery Avenue,Islington,Roadside,Yes,51.52844,-0.10692,531413.6014,182749.243,0.3,3.23
98245,4/3/2019 12:00,1/7/2019 0:59,Network Based Calibration,NA,Hertford Road,Enfield,Roadside,No,51.673753,-0.038301,535743.972,199040.7032,0.23,3.19
100245,15/10/2018 21:00,1/7/2019 0:59,Network Based Calibration,NA,National Physical Laboratory,Richmond,Urban ,No,51.42661,-0.345043,515153.3052,171035.5917,4,3
172450,28/2/2019 0:00,10/4/2019 2:00,Network Based Calibration,4/10/2019 2:00,Clifford Street,Westminster,Urban ,Yes,51.51092,-0.141896,529041.4826,180745.5001,2,20
392450,24/10/2018 11:00,8/3/2019 1:00,Initial Reference Site Colocation,3/8/2019 1:00,Glaisher Street,Greenwich,Urban ,No,51.4831,-0.0188,537666.7807,177875.9136,1.5,3.03
422450,24/10/2018 13:00,6/2/2019 1:00,Network Based Calibration,2/6/2019 1:00,Parkside,Merton,Roadside,No,51.426126,-0.222013,523711.065,171177.9655,1.26,2.93
552450,17/10/2018 14:00,17/12/2018 1:00,Network Based Calibration,12/17/2018 1:00,Wetland Centre,Hammersmith & Fulham,Urban ,No,51.476168,-0.230427,522991.6947,176728.6714,NA,3.133
652450,16/12/2018 17:00,8/1/2019 1:00,Network Based Calibration,1/8/2019 1:00,Broomhill Road,Bromley,Urban ,No,51.379382,0.100759,546298.5553,166574.025,14.4,3
722450,2/11/2018 0:00,13/2/2019 1:00,Network Based Calibration,2/13/2019 1:00,Fitzjohn Avenue,Camden,Roadside,No,51.551247,-0.175939,526567.4357,185170.6219,1.1,3.3
832450,14/12/2018 13:15,18/4/2019 2:00,Network Based Calibration,4/18/2019 2:00,Richmond Road,Hackney,Roadside,No,51.54337,-0.057899,534763.2278,184508.8304,1.12,3.1
872450,11/3/2019 15:30,20/5/2019 2:00,Network Based Calibration,5/20/2019 2:00,Haseltine Road,Lewisham,Roadside,No,51.42796,-0.036516,536593.7423,171717.1286,1,2.9
892450,25/10/2018 13:00,3/1/2019 1:00,Gold Pod Colocation,1/3/2019 1:00,Woolwich Manor Way,Barking & Dagenham,Roadside,No,51.515901,0.060587,543075.9963,181675.5508,0.1,3.3
982450,20/9/2018 11:00,8/1/2019 1:00,Network Based Calibration,1/8/2019 1:00,King William Walk,Greenwich,Roadside,No,51.481858,-0.008609,538378.11,177756.9986,1.5,3
